date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-28 01:13:10,49.7 nAVAX,50.4 nAVAX,52.9 nAVAX,935 Txns,19 Txns,44.88%
2022-03-28 01:13:28,49.6 nAVAX,49.6 nAVAX,50.1 nAVAX,950 Txns,18 Txns,44.87%
2022-03-28 01:13:46,48.9 nAVAX,49.7 nAVAX,50.2 nAVAX,933 Txns,17 Txns,44.87%
2022-03-28 01:14:05,47.9 nAVAX,48.7 nAVAX,49.2 nAVAX,927 Txns,21 Txns,44.85%
2022-03-28 01:14:23,47.5 nAVAX,48.6 nAVAX,49.1 nAVAX,941 Txns,17 Txns,44.83%
2022-03-28 01:14:42,46.7 nAVAX,47.2 nAVAX,47.7 nAVAX,926 Txns,21 Txns,44.82%
2022-03-28 01:15:00,46.3 nAVAX,46.3 nAVAX,47.8 nAVAX,897 Txns,15 Txns,44.79%
2022-03-28 01:15:21,44.1 nAVAX,44.4 nAVAX,44.6 nAVAX,889 Txns,18 Txns,44.80%
2022-03-28 01:15:39,43.1 nAVAX,43.1 nAVAX,43.6 nAVAX,909 Txns,18 Txns,44.65%
2022-03-28 01:15:57,41.2 nAVAX,41.9 nAVAX,42.4 nAVAX,840 Txns,24 Txns,44.62%
2022-03-28 01:16:15,40.6 nAVAX,41.4 nAVAX,41.9 nAVAX,842 Txns,23 Txns,44.62%
2022-03-28 01:16:33,41.3 nAVAX,42.1 nAVAX,44.6 nAVAX,853 Txns,21 Txns,44.67%
2022-03-28 01:16:52,40.6 nAVAX,40.6 nAVAX,41.1 nAVAX,849 Txns,18 Txns,44.65%
2022-03-28 01:17:11,40.3 nAVAX,41.2 nAVAX,41.7 nAVAX,857 Txns,22 Txns,44.65%
2022-03-28 01:17:29,40 nAVAX,41 nAVAX,41.5 nAVAX,824 Txns,24 Txns,44.66%
2022-03-28 01:17:48,39.7 nAVAX,39.7 nAVAX,40.2 nAVAX,838 Txns,18 Txns,44.64%
2022-03-28 01:18:06,39.3 nAVAX,40.3 nAVAX,40.8 nAVAX,789 Txns,18 Txns,44.62%
2022-03-28 01:18:24,40.3 nAVAX,41.8 nAVAX,43.8 nAVAX,809 Txns,22 Txns,44.65%
2022-03-28 01:18:42,39 nAVAX,40 nAVAX,40.5 nAVAX,823 Txns,19 Txns,44.64%
2022-03-28 01:19:02,39.1 nAVAX,39.3 nAVAX,41.5 nAVAX,756 Txns,24 Txns,44.64%
2022-03-28 01:19:20,39 nAVAX,40 nAVAX,42.5 nAVAX,767 Txns,25 Txns,44.67%
2022-03-28 01:19:38,39.3 nAVAX,39.8 nAVAX,41.8 nAVAX,768 Txns,18 Txns,44.67%
2022-03-28 01:19:58,39.7 nAVAX,40.7 nAVAX,42.2 nAVAX,767 Txns,21 Txns,44.67%
2022-03-28 01:20:16,39.8 nAVAX,40.4 nAVAX,40.9 nAVAX,773 Txns,22 Txns,44.67%
2022-03-28 01:20:34,39.4 nAVAX,40 nAVAX,40.5 nAVAX,771 Txns,19 Txns,44.66%
