date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-27 17:36:19,66.1 Gwei,87.4 Gwei,97.2 Gwei,7997 Txns,390 Txns,47.58%
2022-03-27 17:37:02,57.1 Gwei,76.8 Gwei,97.2 Gwei,7998 Txns,131 Txns,47.80%
2022-03-27 17:37:45,57.1 Gwei,96.2 Gwei,96.7 Gwei,7979 Txns,78 Txns,47.80%
2022-03-27 17:38:27,51.5 Gwei,96.2 Gwei,96.7 Gwei,7976 Txns,62 Txns,47.67%
2022-03-27 17:39:09,60 Gwei,96.2 Gwei,96.7 Gwei,8000 Txns,54 Txns,47.80%
2022-03-27 17:39:50,60.1 Gwei,96.1 Gwei,150.1 Gwei,8000 Txns,166 Txns,47.86%
2022-03-27 17:40:32,73.1 Gwei,76.1 Gwei,112.1 Gwei,8000 Txns,105 Txns,47.96%
2022-03-27 17:41:12,76.1 Gwei,96.3 Gwei,97.3 Gwei,7971 Txns,113 Txns,48.00%
2022-03-27 17:41:54,60.1 Gwei,73.1 Gwei,97.3 Gwei,8000 Txns,122 Txns,48.07%
2022-03-27 17:42:37,62.1 Gwei,96.3 Gwei,97.3 Gwei,7779 Txns,109 Txns,48.22%
2022-03-27 17:43:17,73.1 Gwei,96.3 Gwei,97.3 Gwei,7999 Txns,123 Txns,48.28%
2022-03-27 17:43:58,73.1 Gwei,96.3 Gwei,112.2 Gwei,7960 Txns,86 Txns,48.38%
2022-03-27 17:44:39,81.1 Gwei,96.2 Gwei,96.7 Gwei,8000 Txns,54 Txns,48.22%
2022-03-27 17:45:19,65.1 Gwei,99.7 Gwei,162.7 Gwei,7952 Txns,109 Txns,48.45%
2022-03-27 17:46:01,49.8 Gwei,66 Gwei,66.5 Gwei,7975 Txns,59 Txns,48.36%
2022-03-27 17:46:43,43.1 Gwei,96 Gwei,96.5 Gwei,7997 Txns,63 Txns,48.30%
2022-03-27 17:47:24,46.6 Gwei,65 Gwei,65 Gwei,8000 Txns,119 Txns,48.35%
2022-03-27 17:48:04,60 Gwei,65 Gwei,65.5 Gwei,8000 Txns,61 Txns,48.54%
2022-03-27 17:48:45,50 Gwei,78.2 Gwei,78.7 Gwei,7999 Txns,60 Txns,48.45%
2022-03-27 17:49:26,50 Gwei,65 Gwei,65.5 Gwei,7967 Txns,60 Txns,48.33%
2022-03-27 17:50:07,50 Gwei,65 Gwei,65.5 Gwei,7943 Txns,62 Txns,48.18%
2022-03-27 17:50:48,50 Gwei,65.5 Gwei,99.3 Gwei,7994 Txns,66 Txns,48.15%
2022-03-27 17:51:29,54 Gwei,65.5 Gwei,66 Gwei,7994 Txns,57 Txns,47.95%
2022-03-27 17:52:10,54 Gwei,66 Gwei,66.5 Gwei,7963 Txns,61 Txns,47.96%
2022-03-27 17:52:51,53 Gwei,66 Gwei,66.5 Gwei,7991 Txns,100 Txns,47.85%
2022-03-27 17:53:32,52.9 Gwei,59.3 Gwei,59.8 Gwei,8000 Txns,58 Txns,47.64%
2022-03-27 17:54:13,52.9 Gwei,66 Gwei,66.5 Gwei,7999 Txns,56 Txns,47.45%
2022-03-27 17:54:53,51.8 Gwei,64.5 Gwei,65 Gwei,8000 Txns,69 Txns,46.91%
2022-03-27 17:55:35,51.8 Gwei,66 Gwei,66.5 Gwei,8000 Txns,49 Txns,46.73%
2022-03-27 17:56:17,57.9 Gwei,66 Gwei,66.5 Gwei,8000 Txns,57 Txns,46.59%
