date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock
2022-03-27 18:22:55,279 Gwei,279 Gwei,357 Gwei,45 Txns,16 Txns
2022-03-27 18:23:36,388 Gwei,585 Gwei,916 Gwei,811 Txns,26 Txns
2022-03-27 18:24:17,356 Gwei,357 Gwei,585 Gwei,431 Txns,27 Txns
2022-03-27 18:24:58,268 Gwei,268 Gwei,357 Gwei,41 Txns,9 Txns
2022-03-27 18:25:40,326 Gwei,326 Gwei,326 Gwei,13 Txns,9 Txns
2022-03-27 18:26:23,250 Gwei,250 Gwei,392 Gwei,40 Txns,4 Txns
2022-03-27 18:27:05,303 Gwei,303 Gwei,303 Gwei,17 Txns,4 Txns
2022-03-27 18:27:46,302 Gwei,302 Gwei,302 Gwei,15 Txns,10 Txns
2022-03-27 18:28:27,257 Gwei,257 Gwei,257 Gwei,4 Txns,6 Txns
2022-03-27 18:29:09,302 Gwei,302 Gwei,302 Gwei,11 Txns,5 Txns
2022-03-27 18:29:50,301 Gwei,301 Gwei,301 Gwei,15 Txns,14 Txns
2022-03-27 18:30:33,233 Gwei,233 Gwei,233 Gwei,12 Txns,3 Txns
2022-03-27 18:31:16,233 Gwei,233 Gwei,233 Gwei,14 Txns,5 Txns
2022-03-27 18:31:57,233 Gwei,233 Gwei,233 Gwei,11 Txns,3 Txns
2022-03-27 18:32:39,253 Gwei,253 Gwei,253 Gwei,10 Txns,3 Txns
2022-03-27 18:33:20,519 Gwei,519 Gwei,519 Gwei,315 Txns,31 Txns
2022-03-27 18:34:01,286 Gwei,286 Gwei,286 Gwei,9 Txns,7 Txns
2022-03-27 18:34:50,339 Gwei,339 Gwei,339 Gwei,135 Txns,38 Txns
2022-03-27 18:35:33,233 Gwei,233 Gwei,233 Gwei,13 Txns,4 Txns
2022-03-27 18:36:16,233 Gwei,233 Gwei,233 Gwei,12 Txns,3 Txns
2022-03-27 18:36:56,292 Gwei,292 Gwei,292 Gwei,10 Txns,5 Txns
2022-03-27 18:37:39,233 Gwei,233 Gwei,233 Gwei,11 Txns,6 Txns
2022-03-27 18:38:20,289 Gwei,289 Gwei,289 Gwei,13 Txns,3 Txns
2022-03-27 18:39:00,286 Gwei,286 Gwei,286 Gwei,12 Txns,2 Txns
2022-03-27 18:39:41,265 Gwei,265 Gwei,265 Gwei,19 Txns,11 Txns
2022-03-27 18:40:22,233 Gwei,233 Gwei,233 Gwei,7 Txns,3 Txns
2022-03-27 18:41:03,303 Gwei,303 Gwei,303 Gwei,3 Txns,6 Txns
2022-03-27 18:41:44,212 Gwei,212 Gwei,212 Gwei,34 Txns,7 Txns
2022-03-27 18:42:27,302 Gwei,302 Gwei,302 Gwei,11 Txns,7 Txns
2022-03-27 18:43:09,225 Gwei,302 Gwei,453 Gwei,145 Txns,32 Txns
2022-03-27 18:43:54,233 Gwei,233 Gwei,233 Gwei,53 Txns,6 Txns
2022-03-27 18:44:35,233 Gwei,233 Gwei,233 Gwei,18 Txns,4 Txns
2022-03-27 18:45:16,218 Gwei,218 Gwei,312 Gwei,94 Txns,12 Txns
2022-03-27 18:45:57,202 Gwei,202 Gwei,249 Gwei,14 Txns,23 Txns
2022-03-27 18:46:38,247 Gwei,247 Gwei,247 Gwei,13 Txns,6 Txns
2022-03-27 18:47:19,247 Gwei,247 Gwei,247 Gwei,12 Txns,4 Txns
2022-03-27 18:48:01,233 Gwei,233 Gwei,233 Gwei,14 Txns,6 Txns
2022-03-27 18:48:43,284 Gwei,284 Gwei,284 Gwei,327 Txns,34 Txns
2022-03-27 18:49:24,285 Gwei,293 Gwei,481 Gwei,519 Txns,33 Txns
2022-03-27 18:50:06,217 Gwei,285 Gwei,306 Gwei,122 Txns,33 Txns
2022-03-27 18:50:47,204 Gwei,218 Gwei,218 Gwei,5 Txns,3 Txns
2022-03-27 18:51:28,251 Gwei,251 Gwei,251 Gwei,20 Txns,4 Txns
2022-03-27 18:52:10,249 Gwei,249 Gwei,249 Gwei,6 Txns,7 Txns
2022-03-27 18:52:51,246 Gwei,246 Gwei,246 Gwei,4 Txns,4 Txns
2022-03-27 18:53:32,233 Gwei,233 Gwei,233 Gwei,5 Txns,4 Txns
2022-03-27 18:54:14,196 Gwei,196 Gwei,196 Gwei,14 Txns,3 Txns
2022-03-27 18:54:55,196 Gwei,196 Gwei,196 Gwei,16 Txns,4 Txns
2022-03-27 18:55:36,233 Gwei,233 Gwei,233 Gwei,24 Txns,6 Txns
2022-03-27 18:56:17,195 Gwei,264 Gwei,414 Gwei,104 Txns,17 Txns
2022-03-27 18:56:59,276 Gwei,276 Gwei,333 Gwei,273 Txns,31 Txns
2022-03-27 18:57:42,238 Gwei,238 Gwei,238 Gwei,6 Txns,10 Txns
2022-03-27 18:58:23,236 Gwei,236 Gwei,236 Gwei,3 Txns,4 Txns
2022-03-27 18:59:05,190 Gwei,190 Gwei,190 Gwei,6 Txns,5 Txns
2022-03-27 18:59:46,237 Gwei,237 Gwei,237 Gwei,14 Txns,5 Txns
2022-03-27 19:00:27,216 Gwei,216 Gwei,216 Gwei,13 Txns,3 Txns
2022-03-27 19:01:08,233 Gwei,233 Gwei,233 Gwei,8 Txns,4 Txns
2022-03-27 19:01:49,303 Gwei,327 Gwei,327 Gwei,240 Txns,35 Txns
2022-03-27 19:02:30,182 Gwei,182 Gwei,256 Gwei,68 Txns,5 Txns
2022-03-27 19:03:11,223 Gwei,223 Gwei,223 Gwei,23 Txns,3 Txns
2022-03-27 19:03:53,168 Gwei,168 Gwei,168 Gwei,46 Txns,14 Txns
2022-03-27 19:04:35,225 Gwei,225 Gwei,225 Gwei,9 Txns,9 Txns
2022-03-27 19:05:17,185 Gwei,185 Gwei,185 Gwei,14 Txns,6 Txns
2022-03-27 19:05:58,222 Gwei,222 Gwei,222 Gwei,11 Txns,14 Txns
2022-03-27 19:06:39,229 Gwei,229 Gwei,229 Gwei,4 Txns,5 Txns
2022-03-27 19:07:20,286 Gwei,391 Gwei,391 Gwei,219 Txns,23 Txns
2022-03-27 21:31:37,200 Gwei,200 Gwei,200 Gwei,9 Txns,5 Txns
2022-03-27 21:34:22,212 Gwei,212 Gwei,212 Gwei,5 Txns,5 Txns
2022-03-27 21:37:07,211 Gwei,211 Gwei,211 Gwei,15 Txns,4 Txns
2022-03-27 21:40:01,233 Gwei,233 Gwei,276 Gwei,30 Txns,13 Txns
2022-03-27 22:11:04,193 Gwei,209 Gwei,241 Gwei,160 Txns,7 Txns
2022-03-28 03:15:03,139 Gwei,139 Gwei,139 Gwei,15 Txns,7 Txns
